Diablo II Game Server Skill List
Name: SKILL_ATTACK HEX Value (UINT16): 0000
Name: SKILL_KICK HEX Value (UINT16): 0100
Name: SKILL_THROW HEX Value (UINT16): 0200
Name: SKILL_UNSUMMON HEX Value (UINT16): 0300
Name: SKILL_LEFT_HAND_THROW HEX Value (UINT16): 0400
Name: SKILL_LEFT_HAND_SWING HEX Value (UINT16): 0500
Amazon Skills:

Name: SKILL_MAGIC_ARROW HEX Value (UINT16): 0600
Name: SKILL_FIRE_ARROW HEX Value (UINT16): 0700
Name: SKILL_INNER_SIGHT HEX Value (UINT16): 0800
Name: SKILL_CRITICAL_STRIKE HEX Value (UINT16): 0900
Name: SKILL_JAB HEX Value (UINT16): 0A00
Name: SKILL_COLD_ARROW HEX Value (UINT16): 0B00
Name: SKILL_MULTIPLE_SHOT HEX Value (UINT16): 0C00
Name: SKILL_DODGE HEX Value (UINT16): 0D00
Name: SKILL_POWER_STRIKE HEX Value (UINT16): 0E00
Name: SKILL_POISON_JAVELIN HEX Value (UINT16): 0F00
Name: SKILL_EXPLODING_ARROW HEX Value (UINT16): 1000
Name: SKILL_SLOW_MISSILES HEX Value (UINT16): 1100
Name: SKILL_AVOID HEX Value (UINT16): 1200
Name: SKILL_IMPALE HEX Value (UINT16): 1300
Name: SKILL_LIGHTNING_BOLT HEX Value (UINT16): 1400
Name: SKILL_ICE_ARROW HEX Value (UINT16): 1500
Name: SKILL_GUIDED_ARROW HEX Value (UINT16): 1600
Name: SKILL_PENETRATE HEX Value (UINT16): 1700
Name: SKILL_CHARGED_STRIKE HEX Value (UINT16): 1800
Name: SKILL_PLAGUE_JAVELIN HEX Value (UINT16): 1900
Name: SKILL_STRAFE HEX Value (UINT16): 1A00
Name: SKILL_IMMOLATION_ARROW HEX Value (UINT16): 1B00
Name: SKILL_DOPPLEZON HEX Value (UINT16): 1C00
Name: SKILL_EVADE HEX Value (UINT16): 1D00
Name: SKILL_FEND HEX Value (UINT16): 1E00
Name: SKILL_FREEZING_ARROW HEX Value (UINT16): 1F00
Name: SKILL_VALKYRIE HEX Value (UINT16): 2000
